Question 1,Question 2,Question 3,Question 4,Question 5,Question 6,Question 7,Question 8,Question 9,Question 10,House
1,3,1,1,1,4,1,1,1,2,Gryffindor
1,2,1,1,1,3,1,1,1,1,Gryffindor
3,1,1,1,1,1,1,1,1,1,Gryffindor
1,1,3,1,4,1,1,1,1,1,Gryffindor
1,1,1,1,2,1,1,1,4,1,Gryffindor
2,2,2,2,2,1,2,2,2,2,Hufflepuff
2,2,2,4,1,2,2,3,4,4,Hufflepuff
2,2,2,2,2,2,2,2,2,2,Hufflepuff
2,2,4,2,2,3,2,2,4,2,Hufflepuff
2,2,2,2,2,2,2,2,2,2,Hufflepuff
3,3,3,3,3,3,1,3,3,3,Ravenclaw
3,4,3,2,3,3,3,4,3,3,Ravenclaw
3,3,3,2,3,4,3,3,2,3,Ravenclaw
3,3,3,3,3,3,3,3,3,3,Ravenclaw
3,2,3,3,3,1,3,3,1,3,Ravenclaw
2,4,4,4,4,4,2,3,4,4,Slytherin
4,1,4,4,4,4,4,4,2,4,Slytherin
1,4,4,3,4,4,4,4,4,4,Slytherin
4,1,4,4,3,4,2,4,3,4,Slytherin
4,4,1,4,4,4,4,3,4,4,Slytherin
1,2,3,4,1,3,1,4,3,1,Gryffindor
1,2,3,4,1,3,2,4,2,3,Gryffindor
2,2,3,2,1,3,3,3,3,1,Hufflepuff
1,2,1,3,1,3,2,4,3,1,Hufflepuff
1,2,3,4,1,3,4,3,3,1,Ravenclaw
2,3,1,2,4,1,3,2,1,4,Ravenclaw
2,3,1,2,4,1,3,2,1,4,Slytherin
4,3,1,1,4,1,3,2,1,4,Slytherin
4,3,1,2,4,1,4,2,1,4,Gryffindor
4,3,1,2,4,1,3,2,1,4,Gryffindor